Courses List for Exchange-in students_Sem 1 of 2025-2026,,,,,,,,,,,,
"Sorted by Offering Unit, Offering Programme & Course Code",,,,,,,,,,as of 20250520,,
"Offering
Unit","Offering
Programme",Course Code,Course Name,"Units
(Credits)",Teachers,Schedule,Hours,"Course
Category",Medium of Instruction (MOI),Remark,,
FBM,ACCT,ACCT3043,Intermediate Accounting II (1005),3,Mr. Robert Yick Tak CHAN,Mon 15:00-15:50,1,MR,English,,,
FBM,ACCT,ACCT3043,Intermediate Accounting II (1006),3,Dr. Qiong WU,Thu 16:00-17:50,2,MR,English,,,
FBM,ACCT,ACCT3043,Intermediate Accounting II (1006),3,Dr. Qiong WU,Tue 16:00-16:50,1,MR,English,,,
FBM,ACCT,ACCT3053,Corporate Governance and Accounting (1001),3,Dr. Jessica Zhimin TIAN,Tue 10:00-11:50,2,ME,English,,,
FBM,ACCT,ACCT3053,Corporate Governance and Accounting (1001),3,Dr. Jessica Zhimin TIAN,Wed 13:00-13:50,1,ME,English,,,
FBM,ACCT,ACCT3053,Corporate Governance and Accounting (1002),3,Dr. Jessica Zhimin TIAN,Wed 9:00-10:50,2,ME,English,,,
FBM,ACCT,ACCT3053,Corporate Governance and Accounting (1002),3,Dr. Jessica Zhimin TIAN,Tue 14:00-14:50,1,ME,English,,,
FBM,ACCT,ACCT3063,Tax Planning and Management (1001),3,ACCT New Teacher 2,Mon 15:00-16:50,2,ME,English,,,
FBM,ACCT,ACCT3063,Tax Planning and Management (1001),3,ACCT New Teacher 2,Thu 11:00-11:50,1,ME,English,,,
FBM,ACCT,ACCT3063,Tax Planning and Management (1002),3,Ms. Charlotte Suk Fun LO,Thu 9:00-10:50,2,ME,English,,,
FBM,ACCT,ACCT3063,Tax Planning and Management (1002),3,Ms. Charlotte Suk Fun LO,Mon 11:00-11:50,1,ME,English,,,
FBM,ACCT,ACCT3083,Chinese Taxation Law (1001),3,Ms. Yoma Yanxiao WEI,Fri 10:00-11:50,2,FE,Chinese,,,
FBM,ACCT,ACCT3083,Chinese Taxation Law (1001),3,Ms. Yoma Yanxiao WEI,Tue 13:00-13:50,1,FE,Chinese,,,
FBM,ACCT,ACCT3083,Chinese Taxation Law (1002),3,Ms. Yoma Yanxiao WEI,Tue 8:00-9:50,2,FE,Chinese,,,
FBM,ACCT,ACCT3083,Chinese Taxation Law (1002),3,Ms. Yoma Yanxiao WEI,Thu 13:00-13:50,1,FE,Chinese,,,
FBM,ACCT,ACCT4023,Financial Accounting Theory (1001),3,Dr. Anthony Andong LIU,Wed 9:00-10:50,2,ME,English,,,
